text,ipc_section
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",120B
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",155
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",156
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",161
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",165A
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",166A
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",4
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",409
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",420
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",463
"Washeshar Nath Chadha vs Union Of India on 2 September, 1992. Between Washeshar Nath Chadha and Uni. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Delhi High CourtWasheshar Nath Chadha vs Union Of India on 2 September, 1992Equivalent citations: 48(1992)DLT140, 1992(1)DRJ24JUDGMENT",5
"Adv. Dr.P. Krishnadas vs State Of Kerala on 2 March, 2017. Between Adv. Dr.P. Krishnadas and State Of Kerala. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Kerala High CourtAdv. Dr.P. Krishnadas vs State Of Kerala on 2 March, 2017Author:K.Abraham MathewBench:K.Abraham MathewIN THE HIGH COURT OF KERALA AT ERNAKULAM",120
"Adv. Dr.P. Krishnadas vs State Of Kerala on 2 March, 2017. Between Adv. Dr.P. Krishnadas and State Of Kerala. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Kerala High CourtAdv. Dr.P. Krishnadas vs State Of Kerala on 2 March, 2017Author:K.Abraham MathewBench:K.Abraham MathewIN THE HIGH COURT OF KERALA AT ERNAKULAM",438
"N. K. V. Bros (P) Ltd vs M. Karumai Ammal And Ors. Etc on 21 March, 1980. Between N. K. and Bros (P) Ltd vs M. Karumai Ammal And Ors. Etc. The petitioner's  bus driven  by a	 driver hit an over-
hanging high  tension wire  resulting in  the death  of some
passengers and	loss of	 limb to  several others. The driver
was acquitted  on the  ground that the tragedy was an act of
God. The Accidents Tribunal held that despite the screams of
the passenger  about the  dangerous over-hanging  wire ahead
the rash  driver sped towards the spot which resulted in the
accident.  The	High  Court  affirmed  the  finding  of	 the
Tribunal that  the ",304A
"Mahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008. Between Mahadev Prasad Kaushik and State Of U.P. & Anr. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Supreme Court of IndiaMahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008Equivalent citations: AIR 2009 SUPREME COURT 125, 2008 AIR SCW 7026, 2009 (1) ALL LJ 96, (2009) 1 EASTCRIC 178, (2014) 4 CURCC 8, 2009 ALL MR(CRI) 1864, 2009 (2) SCC(CRI) 834, (2008) 4 JCC 2722 (SC), (2008) 72 AL",169
"Mahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008. Between Mahadev Prasad Kaushik and State Of U.P. & Anr. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Supreme Court of IndiaMahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008Equivalent citations: AIR 2009 SUPREME COURT 125, 2008 AIR SCW 7026, 2009 (1) ALL LJ 96, (2009) 1 EASTCRIC 178, (2014) 4 CURCC 8, 2009 ALL MR(CRI) 1864, 2009 (2) SCC(CRI) 834, (2008) 4 JCC 2722 (SC), (2008) 72 AL",200
"Mahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008. Between Mahadev Prasad Kaushik and State Of U.P. & Anr. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Supreme Court of IndiaMahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008Equivalent citations: AIR 2009 SUPREME COURT 125, 2008 AIR SCW 7026, 2009 (1) ALL LJ 96, (2009) 1 EASTCRIC 178, (2014) 4 CURCC 8, 2009 ALL MR(CRI) 1864, 2009 (2) SCC(CRI) 834, (2008) 4 JCC 2722 (SC), (2008) 72 AL",300
"Mahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008. Between Mahadev Prasad Kaushik and State Of U.P. & Anr. using ourVirtual Legal Assistantand get email alerts whenever a new judgment matches your query (Query Alert Service). Try out ourPremium Member Services--Sign up todayand get free trial for one month.Supreme Court of IndiaMahadev Prasad Kaushik vs State Of U.P. & Anr on 17 October, 2008Equivalent citations: AIR 2009 SUPREME COURT 125, 2008 AIR SCW 7026, 2009 (1) ALL LJ 96, (2009) 1 EASTCRIC 178, (2014) 4 CURCC 8, 2009 ALL MR(CRI) 1864, 2009 (2) SCC(CRI) 834, (2008) 4 JCC 2722 (SC), (2008) 72 AL",304
